# Analyzed latency, 2011-09-30T06:23:37, Generic NMEA, 19200 8N1, cycle 1s
#- Tag -  ----- Fix time -----  - Chars -  - Latency -  -- RS232 --  --Analysis-  --- Recv --
     RMC  1317363817.980999947        188  0.129788160  0.227704827  0.230034113  0.235080004
     RMC  1317363818.980999947        187  0.129799128  0.227194961  0.230033159  0.231380939
     RMC  1317363819.980000019        384  0.130796909  0.330796909  0.341032028  0.341877937
     RMC  1317363820.980000019        181  0.130863905  0.225134738  0.241031885  0.242109060
     RMC  1317363821.980000019        186  0.120861053  0.217736053  0.231075048  0.232064009
     RMC  1317363822.980000019        186  0.130786896  0.227661896  0.231045961  0.232097864
     RMC  1317363823.980000019        190  0.090785027  0.189743360  0.201034069  0.202038050
     RMC  1317363824.980000019        382  0.120788097  0.319746431  0.331064939  0.332175970
     RMC  1317363825.980000019        198  0.122057915  0.225182915  0.231046915  0.232085943
     RMC  1317363826.980000019        195  0.130789042  0.232351542  0.241050005  0.242119074
     RMC  1317363827.980000019        191  0.132060051  0.231539218  0.241051912  0.241877079
     RMC  1317363828.980000019        184  0.130785942  0.226619275  0.231041908  0.232115030
     RMC  1317363829.980000019        376  0.130789995  0.326623329  0.341053963  0.342101097
     RMC  1317363830.980000019        194  0.090804100  0.191845767  0.192414045  0.196037054
     RMC  1317363831.980000019        190  0.090787888  0.189746221  0.201056957  0.202113867
     RMC  1317363832.980000019        184  0.130789995  0.226623329  0.231059074  0.232120037
     RMC  1317363833.980000019        185  0.130785942  0.227140109  0.231107950  0.232104063
     RMC  1317363834.980000019        380  0.130788088  0.328704755  0.342299938  0.343309879
     RMC  1317363835.979000092        185  0.131786823  0.228140990  0.232050896  0.233076811
     RMC  1317363836.979000092        182  0.131785870  0.226577536  0.232043982  0.233098984
     RMC  1317363837.979000092        191  0.131786823  0.231265990  0.232043982  0.233038902
     RMC  1317363838.979000092        185  0.131788015  0.228142182  0.232038975  0.233110905
     RMC  1317363839.979000092        379  0.131786823  0.329182657  0.342041969  0.343039989
     RMC  1317363840.979000092        183  0.131783009  0.227095509  0.232049942  0.233583927
     RMC  1317363841.979000092        184  0.131788015  0.227621349  0.232042789  0.233069897
     RMC  1317363842.979000092        192  0.091786861  0.191786861  0.193284988  0.194345951
     RMC  1317363843.979000092        198  0.121786833  0.224911833  0.233285904  0.234498978
     RMC  1317363844.979000092        377  0.131788969  0.328143136  0.342031956  0.343029976
