# Split latency data, Haicom 204s, 9600N1, cycle 1s
#   GPGGA	   GPRMC	   GPGLL	      T1	      D1	       W	      E2	      T2	      D2	  length	tag
# ---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	--------
-       	0.420500	-       	0.498200	0.498800	0.498800	0.498800	0.498942	0.499078	      70	# GPRMC
0.022200	-       	-       	0.113100	0.113700	0.113700	0.113700	0.113839	0.113967	      82	# GPGGA
-       	-       	0.115100	0.169100	0.169700	0.169700	0.169700	0.169891	0.170010	      49	# GPGLL
-       	0.420100	-       	0.497100	0.497600	0.497600	0.497700	0.497783	0.497914	      70	# GPRMC
0.021000	-       	-       	0.113000	0.113500	0.113500	0.113600	0.113693	0.113810	      82	# GPGGA
-       	-       	0.115200	0.169000	0.169500	0.169600	0.169600	0.169702	0.169789	      49	# GPGLL
-       	0.420200	-       	0.497900	0.498500	0.498500	0.498500	0.498651	0.498783	      70	# GPRMC
0.022900	-       	-       	0.113800	0.114400	0.114400	0.114400	0.114563	0.114679	      82	# GPGGA
-       	-       	0.117200	0.169900	0.170400	0.170400	0.170400	0.170572	0.170660	      49	# GPGLL
-       	0.420800	-       	0.497800	0.498300	0.498400	0.498400	0.498508	0.498640	      70	# GPRMC
0.022700	-       	-       	0.113700	0.114300	0.114300	0.114300	0.114419	0.114537	      82	# GPGGA
-       	-       	0.115700	0.169700	0.170300	0.170300	0.170300	0.170467	0.170555	      49	# GPGLL
-       	0.419900	-       	0.497600	0.498200	0.498200	0.498200	0.498363	0.498503	      70	# GPRMC
0.022600	-       	-       	0.113600	0.114100	0.114100	0.114100	0.114274	0.114391	      82	# GPGGA
-       	-       	0.115800	0.169600	0.170100	0.170100	0.170100	0.170277	0.170364	      49	# GPGLL
-       	0.419800	-       	0.497500	0.498100	0.498100	0.498100	0.498218	0.498349	      70	# GPRMC
0.022400	-       	-       	0.114400	0.115000	0.115000	0.115000	0.115132	0.115250	      82	# GPGGA
-       	-       	0.116400	0.170400	0.171000	0.171000	0.171000	0.171139	0.171228	      49	# GPGLL
-       	0.420600	-       	0.498400	0.498900	0.498900	0.499000	0.499089	0.499221	      70	# GPRMC
0.025300	-       	-       	0.117300	0.117800	0.117800	0.117800	0.117979	0.118106	      82	# GPGGA
-       	-       	0.119500	0.173300	0.173800	0.173800	0.173800	0.173956	0.174053	      49	# GPGLL
-       	0.423500	-       	0.501200	0.501800	0.501800	0.501800	0.501954	0.502095	      70	# GPRMC
0.022200	-       	-       	0.114100	0.114700	0.114700	0.114700	0.114836	0.114953	      82	# GPGGA
-       	-       	0.116400	0.170100	0.170700	0.170700	0.170700	0.170814	0.170901	      49	# GPGLL
-       	0.420300	-       	0.498100	0.498600	0.498600	0.498700	0.498781	0.498914	      70	# GPRMC
0.023000	-       	-       	0.115000	0.115600	0.115600	0.115600	0.115722	0.115840	      82	# GPGGA
-       	-       	0.117000	0.171000	0.171500	0.171500	0.171600	0.171681	0.171769	      49	# GPGLL
-       	0.421200	-       	0.498900	0.499500	0.499500	0.499500	0.499662	0.499796	      70	# GPRMC
0.028900	-       	-       	0.118800	0.119400	0.119400	0.119400	0.119562	0.119679	      81	# GPGGA
-       	-       	0.120800	0.174800	0.175400	0.175400	0.175400	0.175537	0.175625	      49	# GPGLL
-       	0.425100	-       	0.502800	0.503400	0.503400	0.503400	0.503565	0.503696	      70	# GPRMC
0.026700	-       	-       	0.117700	0.118300	0.118300	0.118300	0.118417	0.118535	      81	# GPGGA
-       	-       	0.120000	0.173700	0.174300	0.174300	0.174300	0.174417	0.174503	      49	# GPGLL
-       	0.423900	-       	0.501600	0.502200	0.502200	0.502300	0.502387	0.502519	      70	# GPRMC
0.027700	-       	-       	0.117600	0.118100	0.118100	0.118100	0.118275	0.118416	      81	# GPGGA
-       	-       	0.119600	0.173600	0.174100	0.174100	0.174200	0.174280	0.174367	      49	# GPGLL
-       	0.423800	-       	0.501500	0.502100	0.502100	0.502100	0.502223	0.502356	      70	# GPRMC
0.027400	-       	-       	0.117400	0.118000	0.118000	0.118000	0.118136	0.118254	      81	# GPGGA
-       	-       	0.119400	0.173400	0.174000	0.174000	0.174000	0.174186	0.174272	      49	# GPGLL
-       	0.423700	-       	0.501400	0.501900	0.501900	0.501900	0.502079	0.502211	      70	# GPRMC
0.027300	-       	-       	0.117300	0.117800	0.117800	0.117900	0.117985	0.118111	      81	# GPGGA
-       	-       	0.119300	0.173300	0.173800	0.173800	0.173900	0.173983	0.174079	      49	# GPGLL
-       	0.423500	-       	0.501200	0.501800	0.501800	0.501800	0.501928	0.502060	      70	# GPRMC
0.026200	-       	-       	0.116100	0.116700	0.116700	0.116700	0.116845	0.116961	      81	# GPGGA
-       	-       	0.119500	0.172100	0.172700	0.172700	0.172700	0.172819	0.172907	      49	# GPGLL
-       	0.424100	-       	0.501100	0.501600	0.501600	0.501700	0.501787	0.501919	      70	# GPRMC
0.027000	-       	-       	0.117000	0.117500	0.117600	0.117600	0.117705	0.117823	      81	# GPGGA
-       	-       	0.120000	0.173000	0.173500	0.173500	0.173600	0.173685	0.173772	      49	# GPGLL
-       	0.424000	-       	0.500900	0.501500	0.501500	0.501500	0.501641	0.501772	      70	# GPRMC
0.026900	-       	-       	0.116800	0.117400	0.117400	0.117400	0.117562	0.117679	      81	# GPGGA
-       	-       	0.119200	0.172800	0.173400	0.173400	0.173400	0.173540	0.173628	      49	# GPGLL
-       	0.423900	-       	0.500800	0.501400	0.501400	0.501400	0.501512	0.501644	      70	# GPRMC
0.032900	-       	-       	0.123700	0.124300	0.124300	0.124300	0.124530	0.124647	      81	# GPGGA
-       	-       	0.125700	0.179700	0.180200	0.180200	0.180300	0.180398	0.180485	      49	# GPGLL
-       	0.429900	-       	0.507600	0.508200	0.508200	0.508200	0.508374	0.508507	      70	# GPRMC
0.026600	-       	-       	0.117600	0.118100	0.118100	0.118100	0.118276	0.118417	      81	# GPGGA
-       	-       	0.119600	0.173600	0.174100	0.174100	0.174100	0.174257	0.174344	      49	# GPGLL
-       	0.423800	-       	0.501500	0.502100	0.502100	0.502100	0.502228	0.502359	      70	# GPRMC
0.026400	-       	-       	0.117400	0.118000	0.118000	0.118000	0.118125	0.118251	      81	# GPGGA
-       	-       	0.119700	0.173400	0.174000	0.174000	0.174000	0.174105	0.174201	      49	# GPGLL
-       	0.423600	-       	0.501400	0.501900	0.501900	0.501900	0.502077	0.502218	      70	# GPRMC
0.026300	-       	-       	0.117300	0.117900	0.117900	0.117900	0.118008	0.118124	      81	# GPGGA
-       	-       	0.119300	0.173300	0.173800	0.173800	0.173800	0.173963	0.174050	      49	# GPGLL
-       	0.423500	-       	0.501200	0.501800	0.501800	0.501800	0.501941	0.502074	      70	# GPRMC
0.027200	-       	-       	0.117200	0.117700	0.117700	0.117700	0.117912	0.118029	      81	# GPGGA
-       	-       	0.119100	0.173100	0.173700	0.173700	0.173700	0.173828	0.173915	      49	# GPGLL
-       	0.423300	-       	0.501100	0.501600	0.501600	0.501700	0.501796	0.501928	      70	# GPRMC
0.030000	-       	-       	0.120000	0.120500	0.120600	0.120600	0.120707	0.120824	      81	# GPGGA
-       	-       	0.122200	0.176000	0.176600	0.176600	0.176600	0.176706	0.176793	      49	# GPGLL
-       	0.426900	-       	0.503900	0.504500	0.504500	0.504500	0.504676	0.504808	      70	# GPRMC
0.027900	-       	-       	0.117800	0.118400	0.118400	0.118400	0.118559	0.118677	      81	# GPGGA
-       	-       	0.120900	0.173800	0.174400	0.174400	0.174400	0.174535	0.174622	      49	# GPGLL
-       	0.425100	-       	0.502800	0.503400	0.503400	0.503400	0.503517	0.503649	      70	# GPRMC
0.026700	-       	-       	0.117700	0.118300	0.118300	0.118300	0.118428	0.118545	      81	# GPGGA
-       	-       	0.119700	0.173700	0.174200	0.174300	0.174300	0.174401	0.174489	      49	# GPGLL
